Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI
2015,2015 Annual Edition,Air Pollution,New Mexico,7,6.6,-1.72,,
2015,2015 Annual Edition,Air Pollution,New York,17,8,-0.89,,
2015,2015 Annual Edition,Air Pollution,North Carolina,23,8.7,-0.48,,
2015,2015 Annual Edition,Air Pollution,North Dakota,2,5.2,-2,,
2015,2015 Annual Edition,Air Pollution,Ohio,45,10.6,0.65,,
2015,2015 Annual Edition,Air Pollution,Oklahoma,34,9.5,0,,
2015,2015 Annual Edition,Air Pollution,Oregon,8,6.7,-1.66,,
2015,2015 Annual Edition,Air Pollution,Pennsylvania,48,11.4,1.13,,
2015,2015 Annual Edition,Air Pollution,Rhode Island,15,7.8,-1.01,,
2015,2015 Annual Edition,Air Pollution,South Carolina,29,9,-0.3,,
2015,2015 Annual Edition,Air Pollution,South Dakota,6,6.3,-1.9,,
2015,2015 Annual Edition,Air Pollution,Tennessee,30,9.1,-0.24,,
2015,2015 Annual Edition,Air Pollution,Texas,42,9.9,0.24,,
2015,2015 Annual Edition,Air Pollution,Utah,27,8.9,-0.36,,
2015,2015 Annual Edition,Air Pollution,Vermont,5,6.2,-1.96,,
2015,2015 Annual Edition,Air Pollution,Virginia,20,8.3,-0.71,,
2015,2015 Annual Edition,Air Pollution,Washington,17,8,-0.89,,
2015,2015 Annual Edition,Air Pollution,West Virginia,33,9.4,-0.06,,
2015,2015 Annual Edition,Air Pollution,Wisconsin,30,9.1,-0.24,,
2015,2015 Annual Edition,Air Pollution,Wyoming,1,5,-2,,
2015,2015 Annual Edition,Air Pollution,United States,,9.5,,,
2015,2015 Annual Edition,Air Pollution,District of Columbia,,11.1,,,
2015,2015 Annual Edition,All Determinants,Alaska,30,-0.114,,,
2015,2015 Annual Edition,All Determinants,Alabama,43,-0.371,,,
2015,2015 Annual Edition,All Determinants,United States,,,,,
2015,2015 Annual Edition,All Determinants,Arkansas,48,-0.584,,,
2015,2015 Annual Edition,All Determinants,Arizona,32,-0.141,,,
2015,2015 Annual Edition,All Determinants,California,16,0.284,,,
2015,2015 Annual Edition,All Determinants,Colorado,13,0.324,,,
2015,2015 Annual Edition,All Determinants,Connecticut,4,0.529,,,
2015,2015 Annual Edition,All Determinants,District of Columbia,,,,,
2015,2015 Annual Edition,All Determinants,Delaware,31,-0.121,,,
2015,2015 Annual Edition,All Determinants,Florida,33,-0.163,,,
2015,2015 Annual Edition,All Determinants,Georgia,38,-0.288,,,
2015,2015 Annual Edition,All Determinants,Hawaii,3,0.582,,,
2015,2015 Annual Edition,All Determinants,Iowa,24,0.087,,,
2015,2015 Annual Edition,All Determinants,Idaho,20,0.16,,,
2015,2015 Annual Edition,All Determinants,Illinois,27,0.003,,,
2015,2015 Annual Edition,All Determinants,Indiana,41,-0.309,,,
2015,2015 Annual Edition,All Determinants,Kansas,26,0.029,,,
2015,2015 Annual Edition,All Determinants,Kentucky,39,-0.296,,,
2015,2015 Annual Edition,All Determinants,Louisiana,50,-0.767,,,
2015,2015 Annual Edition,All Determinants,Massachusetts,2,0.602,,,
2015,2015 Annual Edition,All Determinants,Maryland,15,0.295,,,
2015,2015 Annual Edition,All Determinants,Maine,10,0.353,,,
2015,2015 Annual Edition,All Determinants,Michigan,35,-0.19,,,
2015,2015 Annual Edition,All Determinants,Minnesota,7,0.371,,,
2015,2015 Annual Edition,All Determinants,Missouri,34,-0.182,,,
2015,2015 Annual Edition,All Determinants,Mississippi,49,-0.666,,,
2015,2015 Annual Edition,All Determinants,Montana,23,0.117,,,
2015,2015 Annual Edition,All Determinants,North Carolina,28,-0.028,,,
2015,2015 Annual Edition,All Determinants,North Dakota,18,0.231,,,
2015,2015 Annual Edition,All Determinants,Nebraska,14,0.305,,,
2015,2015 Annual Edition,All Determinants,New Hampshire,5,0.495,,,
2015,2015 Annual Edition,All Determinants,New Jersey,11,0.345,,,
2015,2015 Annual Edition,All Determinants,New Mexico,40,-0.301,,,
2015,2015 Annual Edition,All Determinants,Nevada,45,-0.409,,,
2015,2015 Annual Edition,All Determinants,New York,8,0.368,,,
2015,2015 Annual Edition,All Determinants,Ohio,36,-0.226,,,
2015,2015 Annual Edition,All Determinants,Oklahoma,46,-0.41,,,
2015,2015 Annual Edition,All Determinants,Oregon,17,0.266,,,
2015,2015 Annual Edition,All Determinants,Pennsylvania,25,0.039,,,
2015,2015 Annual Edition,All Determinants,Rhode Island,12,0.335,,,
2015,2015 Annual Edition,All Determinants,South Carolina,44,-0.397,,,
2015,2015 Annual Edition,All Determinants,South Dakota,21,0.154,,,
2015,2015 Annual Edition,All Determinants,Tennessee,42,-0.319,,,
2015,2015 Annual Edition,All Determinants,Texas,37,-0.235,,,
2015,2015 Annual Edition,All Determinants,Utah,6,0.397,,,
2015,2015 Annual Edition,All Determinants,Virginia,19,0.228,,,
2015,2015 Annual Edition,All Determinants,Vermont,1,0.674,,,
2015,2015 Annual Edition,All Determinants,Washington,9,0.357,,,
2015,2015 Annual Edition,All Determinants,Wisconsin,22,0.146,,,
2015,2015 Annual Edition,All Determinants,West Virginia,47,-0.442,,,
2015,2015 Annual Edition,All Determinants,Wyoming,29,-0.043,,,
2015,2015 Annual Edition,All Outcomes,New Jersey,16,0.128,,,
2015,2015 Annual Edition,All Outcomes,New Mexico,33,-0.016,,,
2015,2015 Annual Edition,All Outcomes,Nevada,24,0.055,,,
2015,2015 Annual Edition,All Outcomes,New York,21,0.071,,,
2015,2015 Annual Edition,All Outcomes,Ohio,41,-0.14,,,
2015,2015 Annual Edition,All Outcomes,Oklahoma,44,-0.252,,,
2015,2015 Annual Edition,All Outcomes,Oregon,28,0.04,,,
2015,2015 Annual Edition,All Outcomes,Pennsylvania,35,-0.067,,,
2015,2015 Annual Edition,All Outcomes,Rhode Island,27,0.042,,,
2015,2015 Annual Edition,All Outcomes,South Carolina,42,-0.158,,,
2015,2015 Annual Edition,All Outcomes,South Dakota,11,0.164,,,
2015,2015 Annual Edition,All Outcomes,Tennessee,45,-0.267,,,
2015,2015 Annual Edition,All Outcomes,Texas,26,0.044,,,
2015,2015 Annual Edition,All Outcomes,Utah,3,0.255,,,
2015,2015 Annual Edition,All Outcomes,Virginia,23,0.066,,,
2015,2015 Annual Edition,All Outcomes,Vermont,12,0.157,,,
2015,2015 Annual Edition,All Outcomes,Washington,13,0.155,,,
2015,2015 Annual Edition,All Outcomes,Wisconsin,25,0.046,,,
2015,2015 Annual Edition,All Outcomes,West Virginia,50,-0.327,,,
2015,2015 Annual Edition,All Outcomes,Wyoming,9,0.175,,,
2015,2015 Annual Edition,All Outcomes,Alaska,10,0.171,,,
2015,2015 Annual Edition,All Outcomes,Alabama,49,-0.325,,,
2015,2015 Annual Edition,All Outcomes,United States,,,,,
2015,2015 Annual Edition,All Outcomes,Arkansas,48,-0.304,,,
2015,2015 Annual Edition,All Outcomes,Arizona,20,0.072,,,
2015,2015 Annual Edition,All Outcomes,California,22,0.07,,,
2015,2015 Annual Edition,All Outcomes,Colorado,4,0.236,,,
2015,2015 Annual Edition,All Outcomes,Connecticut,15,0.141,,,
2015,2015 Annual Edition,All Outcomes,District of Columbia,,,,,
2015,2015 Annual Edition,All Outcomes,Delaware,34,-0.041,,,
2015,2015 Annual Edition,All Outcomes,Florida,32,-0.011,,,
2015,2015 Annual Edition,All Outcomes,Georgia,36,-0.083,,,
2015,2015 Annual Edition,All Outcomes,Hawaii,2,0.31,,,
2015,2015 Annual Edition,All Outcomes,Iowa,14,0.151,,,
2015,2015 Annual Edition,All Outcomes,Idaho,7,0.192,,,
2015,2015 Annual Edition,All Outcomes,Illinois,31,-0.004,,,
2015,2015 Annual Edition,All Outcomes,Indiana,40,-0.131,,,
2015,2015 Annual Edition,All Outcomes,Kansas,19,0.076,,,
2015,2015 Annual Edition,All Outcomes,Kentucky,47,-0.303,,,
2015,2015 Annual Edition,All Outcomes,Louisiana,43,-0.219,,,
2015,2015 Annual Edition,All Outcomes,Massachusetts,17,0.106,,,
2015,2015 Annual Edition,All Outcomes,Maryland,29,0.035,,,
2015,2015 Annual Edition,All Outcomes,Maine,30,0.017,,,
2015,2015 Annual Edition,All Outcomes,Michigan,37,-0.085,,,
2015,2015 Annual Edition,All Outcomes,Minnesota,1,0.325,,,
2015,2015 Annual Edition,All Outcomes,Missouri,39,-0.109,,,
2015,2015 Annual Edition,All Outcomes,Mississippi,46,-0.287,,,
2015,2015 Annual Edition,All Outcomes,Montana,18,0.091,,,
2015,2015 Annual Edition,All Outcomes,North Carolina,38,-0.102,,,
2015,2015 Annual Edition,All Outcomes,North Dakota,5,0.222,,,
2015,2015 Annual Edition,All Outcomes,Nebraska,8,0.185,,,
2015,2015 Annual Edition,All Outcomes,New Hampshire,6,0.193,,,
2015,2015 Annual Edition,Behaviors,Alaska,43,-0.147,,,
2015,2015 Annual Edition,Behaviors,Alabama,40,-0.128,,,
2015,2015 Annual Edition,Behaviors,United States,,,,,
2015,2015 Annual Edition,Behaviors,Arkansas,47,-0.223,,,
2015,2015 Annual Edition,Behaviors,Arizona,30,-0.017,,,
2015,2015 Annual Edition,Behaviors,California,3,0.201,,,
2015,2015 Annual Edition,Behaviors,Colorado,9,0.131,,,
2015,2015 Annual Edition,Behaviors,Connecticut,5,0.162,,,
2015,2015 Annual Edition,Behaviors,District of Columbia,,,,,
2015,2015 Annual Edition,Behaviors,Delaware,36,-0.096,,,
2015,2015 Annual Edition,Behaviors,Florida,27,0.006,,,
2015,2015 Annual Edition,Behaviors,Georgia,33,-0.064,,,
2015,2015 Annual Edition,Behaviors,Hawaii,4,0.196,,,
2015,2015 Annual Edition,Behaviors,Iowa,21,0.032,,,
2015,2015 Annual Edition,Behaviors,Idaho,8,0.136,,,
2015,2015 Annual Edition,Behaviors,Illinois,22,0.023,,,
2015,2015 Annual Edition,Behaviors,Indiana,38,-0.121,,,
2015,2015 Annual Edition,Behaviors,Kansas,23,0.021,,,
2015,2015 Annual Edition,Behaviors,Kentucky,46,-0.194,,,
2015,2015 Annual Edition,Behaviors,Louisiana,50,-0.332,,,
2015,2015 Annual Edition,Behaviors,Massachusetts,2,0.202,,,
2015,2015 Annual Edition,Behaviors,Maryland,10,0.124,,,
2015,2015 Annual Edition,Behaviors,Maine,17,0.057,,,
2015,2015 Annual Edition,Behaviors,Michigan,45,-0.171,,,
2015,2015 Annual Edition,Behaviors,Minnesota,16,0.063,,,
2015,2015 Annual Edition,Behaviors,Missouri,32,-0.043,,,
2015,2015 Annual Edition,Behaviors,Mississippi,48,-0.254,,,
2015,2015 Annual Edition,Behaviors,Montana,20,0.032,,,
2015,2015 Annual Edition,Behaviors,North Carolina,26,0.006,,,
2015,2015 Annual Edition,Behaviors,North Dakota,29,-0.015,,,
2015,2015 Annual Edition,Behaviors,Nebraska,13,0.081,,,
2015,2015 Annual Edition,Behaviors,New Hampshire,11,0.107,,,
2015,2015 Annual Edition,Behaviors,New Jersey,7,0.16,,,
2015,2015 Annual Edition,Behaviors,New Mexico,41,-0.138,,,
2015,2015 Annual Edition,Behaviors,Nevada,35,-0.087,,,
2015,2015 Annual Edition,Behaviors,New York,14,0.079,,,
2015,2015 Annual Edition,Behaviors,Ohio,44,-0.157,,,
2015,2015 Annual Edition,Behaviors,Oklahoma,39,-0.125,,,
2015,2015 Annual Edition,Behaviors,Oregon,28,-0.014,,,
2015,2015 Annual Edition,Behaviors,Pennsylvania,31,-0.042,,,
2015,2015 Annual Edition,Behaviors,Rhode Island,25,0.012,,,
2015,2015 Annual Edition,Behaviors,South Carolina,42,-0.145,,,
2015,2015 Annual Edition,Behaviors,South Dakota,18,0.037,,,
2015,2015 Annual Edition,Behaviors,Tennessee,37,-0.112,,,
2015,2015 Annual Edition,Behaviors,Texas,12,0.089,,,
2015,2015 Annual Edition,Behaviors,Utah,1,0.267,,,
2015,2015 Annual Edition,Behaviors,Virginia,19,0.037,,,
2015,2015 Annual Edition,Behaviors,Vermont,6,0.16,,,
2015,2015 Annual Edition,Behaviors,Washington,15,0.068,,,
2015,2015 Annual Edition,Behaviors,Wisconsin,24,0.015,,,
2015,2015 Annual Edition,Behaviors,West Virginia,49,-0.285,,,
2015,2015 Annual Edition,Behaviors,Wyoming,34,-0.087,,,
2015,2015 Annual Edition,Binge Drinking,Alabama,4,12,-1.36,13.1,10.9
2015,2015 Annual Edition,Binge Drinking,Alaska,45,20.2,1.43,22,18.4
2015,2015 Annual Edition,Binge Drinking,Arizona,15,14.9,-0.38,16.1,13.8
2015,2015 Annual Edition,Binge Drinking,Arkansas,8,13.3,-0.92,14.9,11.6
2015,2015 Annual Edition,Binge Drinking,California,21,15.6,-0.14,16.7,14.5
2015,2015 Annual Edition,Binge Drinking,Colorado,37,17.5,0.51,18.4,16.5
2015,2015 Annual Edition,Binge Drinking,Connecticut,25,15.9,-0.03,17.2,14.6
2015,2015 Annual Edition,Binge Drinking,Delaware,22,15.7,-0.1,17.5,13.8
2015,2015 Annual Edition,Binge Drinking,Florida,16,15,-0.34,16.1,13.9
2015,2015 Annual Edition,Binge Drinking,Georgia,12,14.2,-0.61,15.6,12.8
2015,2015 Annual Edition,Binge Drinking,Hawaii,44,19.7,1.26,21.1,18.3
2015,2015 Annual Edition,Binge Drinking,Idaho,13,14.8,-0.41,16.4,13.2
2015,2015 Annual Edition,Binge Drinking,Illinois,45,20.2,1.43,21.8,18.6
2015,2015 Annual Edition,Binge Drinking,Indiana,13,14.8,-0.41,15.8,13.8
2015,2015 Annual Edition,Binge Drinking,Iowa,48,21.4,1.84,22.7,20.1
2015,2015 Annual Edition,Binge Drinking,Kansas,23,15.8,-0.07,16.7,15
2015,2015 Annual Edition,Binge Drinking,Kentucky,5,12.7,-1.13,13.8,11.5
2015,2015 Annual Edition,Binge Drinking,Louisiana,26,16,0,17.2,14.8
2015,2015 Annual Edition,Binge Drinking,Maine,32,17,0.34,18.2,15.8
2015,2015 Annual Edition,Binge Drinking,Maryland,20,15.4,-0.2,16.7,14.1
2015,2015 Annual Edition,Binge Drinking,Massachusetts,35,17.4,0.48,18.4,16.4
2015,2015 Annual Edition,Binge Drinking,Michigan,41,18.9,0.99,20.1,17.8
2015,2015 Annual Edition,Binge Drinking,Minnesota,43,19.5,1.19,20.3,18.8
2015,2015 Annual Edition,Binge Drinking,Mississippi,6,12.8,-1.09,14.4,11.2
2015,2015 Annual Edition,Binge Drinking,Missouri,18,15.1,-0.31,16.5,13.7
2015,2015 Annual Edition,Binge Drinking,Montana,41,18.9,0.99,20.3,17.5
2015,2015 Annual Edition,Binge Drinking,Nebraska,47,20.3,1.47,21.3,19.4
2015,2015 Annual Edition,Binge Drinking,Nevada,26,16,0,18,13.9
2015,2015 Annual Edition,Binge Drinking,New Hampshire,31,16.8,0.27,18.4,15.3
2015,2015 Annual Edition,Binge Drinking,New Jersey,23,15.8,-0.07,16.9,14.8
2015,2015 Annual Edition,Binge Drinking,New Mexico,10,13.7,-0.78,15,12.4
2015,2015 Annual Edition,Binge Drinking,New York,16,15,-0.34,16.2,13.8
2015,2015 Annual Edition,Binge Drinking,North Carolina,9,13.6,-0.82,14.7,12.6
2015,2015 Annual Edition,Binge Drinking,North Dakota,50,24,2,25.8,22.2
2015,2015 Annual Edition,Binge Drinking,Ohio,39,18,0.68,19.3,16.8
2015,2015 Annual Edition,Binge Drinking,Oklahoma,6,12.8,-1.09,13.9,11.8
2015,2015 Annual Edition,Binge Drinking,Oregon,29,16.6,0.2,18,15.2
2015,2015 Annual Edition,Binge Drinking,Pennsylvania,30,16.7,0.24,17.8,15.6
2015,2015 Annual Edition,Binge Drinking,Rhode Island,40,18.4,0.82,20,16.8
2015,2015 Annual Edition,Binge Drinking,South Carolina,11,14.1,-0.65,15,13.1
2015,2015 Annual Edition,Binge Drinking,South Dakota,35,17.4,0.48,19.1,15.8
2015,2015 Annual Edition,Binge Drinking,Tennessee,2,10.6,-1.84,12.1,9.1
2015,2015 Annual Edition,Binge Drinking,Texas,28,16.3,0.1,17.4,15.2
2015,2015 Annual Edition,Binge Drinking,Utah,3,11.4,-1.57,12.1,10.7
2015,2015 Annual Edition,Binge Drinking,Vermont,38,17.9,0.65,19.2,16.6
2015,2015 Annual Edition,Binge Drinking,Virginia,19,15.2,-0.27,16.2,14.1
2015,2015 Annual Edition,Binge Drinking,Washington,33,17.1,0.38,18.2,16
2015,2015 Annual Edition,Binge Drinking,West Virginia,1,9.6,-2,10.6,8.6
2015,2015 Annual Edition,Binge Drinking,Wisconsin,49,22.1,2,23.5,20.6
2015,2015 Annual Edition,Binge Drinking,Wyoming,34,17.2,0.41,19.1,15.3
2015,2015 Annual Edition,Binge Drinking,United States,,16,,16.2,15.7
2015,2015 Annual Edition,Binge Drinking,District of Columbia,,24.9,,27.6,22.3
2015,2015 Annual Edition,Cancer Deaths,Alabama,43,211.6,1.24,213.9,209.2
2015,2015 Annual Edition,Cancer Deaths,Alaska,32,194.1,0.25,201.5,186.6
2015,2015 Annual Edition,Cancer Deaths,Arizona,5,169.6,-1.13,171.4,167.8
2015,2015 Annual Edition,Cancer Deaths,Arkansas,46,216.9,1.54,219.9,213.9
2015,2015 Annual Edition,Cancer Deaths,California,6,170.1,-1.1,170.9,169.3
2015,2015 Annual Edition,Cancer Deaths,Colorado,3,162.2,-1.55,164.3,160
2015,2015 Annual Edition,Cancer Deaths,Connecticut,7,174.6,-0.85,176.9,172.2
2015,2015 Annual Edition,Cancer Deaths,Delaware,36,199.1,0.54,204.2,194
2015,2015 Annual Edition,Cancer Deaths,Florida,14,182,-0.43,183,181
2015,2015 Annual Edition,Cancer Deaths,Georgia,29,192.8,0.18,194.6,191.1
2015,2015 Annual Edition,Cancer Deaths,Hawaii,2,155.4,-1.93,159,151.8
2015,2015 Annual Edition,Cancer Deaths,Idaho,9,175.8,-0.78,179.6,171.9
2015,2015 Annual Edition,Cancer Deaths,Illinois,34,198.6,0.51,200.1,197.2
2015,2015 Annual Edition,Cancer Deaths,Indiana,42,208.8,1.09,210.8,206.7
2015,2015 Annual Edition,Cancer Deaths,Iowa,31,193.7,0.23,196.4,191
2015,2015 Annual Edition,Cancer Deaths,Kansas,25,191,0.08,193.9,188.1
2015,2015 Annual Edition,Cancer Deaths,Kentucky,50,228.8,2,231.4,226.3
2015,2015 Annual Edition,Cancer Deaths,Louisiana,47,217.9,1.6,220.4,215.3
2015,2015 Annual Edition,Cancer Deaths,Maine,39,204.3,0.83,208.3,200.3
2015,2015 Annual Edition,Cancer Deaths,Maryland,21,188,-0.09,190.1,186
2015,2015 Annual Edition,Cancer Deaths,Massachusetts,20,185.6,-0.23,187.4,183.7
2015,2015 Annual Edition,Cancer Deaths,Michigan,35,198.7,0.51,200.3,197.1
2015,2015 Annual Edition,Cancer Deaths,Minnesota,11,179.5,-0.57,181.6,177.5
2015,2015 Annual Edition,Cancer Deaths,Mississippi,49,225.8,2,229,222.7
2015,2015 Annual Edition,Cancer Deaths,Missouri,40,206.3,0.94,208.3,204.2
2015,2015 Annual Edition,Cancer Deaths,Montana,13,180.1,-0.54,184.6,175.6
2015,2015 Annual Edition,Cancer Deaths,Nebraska,19,185.4,-0.24,189,181.9
2015,2015 Annual Edition,Cancer Deaths,Nevada,22,188.1,-0.08,191.2,185
2015,2015 Annual Edition,Cancer Deaths,New Hampshire,24,190.8,0.07,195,186.7
2015,2015 Annual Edition,Cancer Deaths,New Jersey,17,183.6,-0.34,185.2,182
2015,2015 Annual Edition,Cancer Deaths,New Mexico,4,167.3,-1.26,170.5,164.1
2015,2015 Annual Edition,Cancer Deaths,New York,12,179.9,-0.55,181,178.9
2015,2015 Annual Edition,Cancer Deaths,North Carolina,33,195.2,0.32,196.8,193.6
2015,2015 Annual Edition,Cancer Deaths,North Dakota,10,176,-0.77,181.5,170.5
2015,2015 Annual Edition,Cancer Deaths,Ohio,41,207.6,1.02,209.1,206.1
2015,2015 Annual Edition,Cancer Deaths,Oklahoma,45,215.8,1.48,218.5,213.1
2015,2015 Annual Edition,Cancer Deaths,Oregon,27,192.1,0.14,194.5,189.7
2015,2015 Annual Edition,Cancer Deaths,Pennsylvania,37,199.6,0.57,200.9,198.3
2015,2015 Annual Edition,Cancer Deaths,Rhode Island,28,192.4,0.16,197,187.8
2015,2015 Annual Edition,Cancer Deaths,South Carolina,38,203.2,0.77,205.5,200.8
2015,2015 Annual Edition,Cancer Deaths,South Dakota,18,184.8,-0.27,190,179.7
2015,2015 Annual Edition,Cancer Deaths,Tennessee,44,213.7,1.36,215.8,211.7
2015,2015 Annual Edition,Cancer Deaths,Texas,15,182.3,-0.41,183.4,181.2
2015,2015 Annual Edition,Cancer Deaths,Utah,1,146.1,-2,149.2,143.1
2015,2015 Annual Edition,Cancer Deaths,Vermont,25,191,0.08,196.8,185.1
2015,2015 Annual Edition,Cancer Deaths,Virginia,23,189.2,-0.02,191,187.4
2015,2015 Annual Edition,Cancer Deaths,Washington,16,182.8,-0.38,184.7,181
2015,2015 Annual Edition,Cancer Deaths,West Virginia,48,221.6,1.81,225.2,218
2015,2015 Annual Edition,Cancer Deaths,Wisconsin,30,193.3,0.21,195.4,191.3
2015,2015 Annual Edition,Cancer Deaths,Wyoming,7,174.6,-0.85,181,168.3
2015,2015 Annual Edition,Cancer Deaths,District of Columbia,,204.9,,211.9,197.9
2015,2015 Annual Edition,Cancer Deaths,United States,,189.6,,189.9,189.3
2015,2015 Annual Edition,Cardiovascular Deaths,Alabama,49,330.1,2,333.1,327.1
2015,2015 Annual Edition,Cardiovascular Deaths,Alaska,8,214.9,-0.97,223.3,206.5
2015,2015 Annual Edition,Cardiovascular Deaths,Arizona,10,216.6,-0.92,218.7,214.5
2015,2015 Annual Edition,Cardiovascular Deaths,Arkansas,47,313.4,1.69,317.1,309.8
2015,2015 Annual Edition,Cardiovascular Deaths,California,23,233.6,-0.46,234.5,232.7
2015,2015 Annual Edition,Cardiovascular Deaths,Colorado,2,196.2,-1.47,198.6,193.8
2015,2015 Annual Edition,Cardiovascular Deaths,Connecticut,11,217.5,-0.9,220.1,214.9
2015,2015 Annual Edition,Cardiovascular Deaths,Delaware,28,245.6,-0.14,251.4,239.9
2015,2015 Annual Edition,Cardiovascular Deaths,Florida,15,221,-0.8,222.1,219.9
2015,2015 Annual Edition,Cardiovascular Deaths,Georgia,36,269.8,0.51,271.9,267.7
2015,2015 Annual Edition,Cardiovascular Deaths,Hawaii,3,203,-1.29,207.1,199
2015,2015 Annual Edition,Cardiovascular Deaths,Idaho,19,227.7,-0.62,232.2,223.3
2015,2015 Annual Edition,Cardiovascular Deaths,Illinois,32,253.1,0.06,254.7,251.5
2015,2015 Annual Edition,Cardiovascular Deaths,Indiana,39,275.1,0.65,277.4,272.7
2015,2015 Annual Edition,Cardiovascular Deaths,Iowa,27,245.4,-0.15,248.4,242.5
2015,2015 Annual Edition,Cardiovascular Deaths,Kansas,26,245.2,-0.15,248.4,242
2015,2015 Annual Edition,Cardiovascular Deaths,Kentucky,43,298.1,1.27,301.1,295.1
2015,2015 Annual Edition,Cardiovascular Deaths,Louisiana,46,306.3,1.5,309.4,303.3
2015,2015 Annual Edition,Cardiovascular Deaths,Maine,12,218.7,-0.86,222.9,214.6
2015,2015 Annual Edition,Cardiovascular Deaths,Maryland,30,250.1,-0.02,252.5,247.7
2015,2015 Annual Edition,Cardiovascular Deaths,Massachusetts,4,205.6,-1.22,207.5,203.7
2015,2015 Annual Edition,Cardiovascular Deaths,Michigan,42,284.3,0.9,286.1,282.4
2015,2015 Annual Edition,Cardiovascular Deaths,Minnesota,1,186.5,-1.73,188.6,184.5
2015,2015 Annual Edition,Cardiovascular Deaths,Mississippi,50,344.5,2,348.4,340.5
2015,2015 Annual Edition,Cardiovascular Deaths,Missouri,41,281.4,0.82,283.7,279
2015,2015 Annual Edition,Cardiovascular Deaths,Montana,18,227.6,-0.63,232.7,222.5
2015,2015 Annual Edition,Cardiovascular Deaths,Nebraska,16,224.7,-0.7,228.5,220.9
2015,2015 Annual Edition,Cardiovascular Deaths,Nevada,38,274.8,0.65,278.7,270.9
2015,2015 Annual Edition,Cardiovascular Deaths,New Hampshire,7,213.3,-1.01,217.7,208.9
2015,2015 Annual Edition,Cardiovascular Deaths,New Jersey,29,245.9,-0.13,247.7,244
2015,2015 Annual Edition,Cardiovascular Deaths,New Mexico,9,216.3,-0.93,220,212.6
2015,2015 Annual Edition,Cardiovascular Deaths,New York,34,258.5,0.21,259.8,257.3
2015,2015 Annual Edition,Cardiovascular Deaths,North Carolina,31,251.1,0.01,252.9,249.2
2015,2015 Annual Edition,Cardiovascular Deaths,North Dakota,17,224.8,-0.7,230.8,218.8
2015,2015 Annual Edition,Cardiovascular Deaths,Ohio,40,276.1,0.68,277.8,274.4
2015,2015 Annual Edition,Cardiovascular Deaths,Oklahoma,48,322.5,1.93,325.8,319.1
2015,2015 Annual Edition,Cardiovascular Deaths,Oregon,5,212,-1.05,214.6,209.5
2015,2015 Annual Edition,Cardiovascular Deaths,Pennsylvania,35,260.3,0.26,261.7,258.8
2015,2015 Annual Edition,Cardiovascular Deaths,Rhode Island,20,229.9,-0.56,234.8,225.1
2015,2015 Annual Edition,Cardiovascular Deaths,South Carolina,37,271.8,0.57,274.6,269.1
2015,2015 Annual Edition,Cardiovascular Deaths,South Dakota,22,232.5,-0.49,238.1,226.9
2015,2015 Annual Edition,Cardiovascular Deaths,Tennessee,44,299,1.3,301.5,296.5
